Model,TP,TN,FP,FN,N,Threshold,Accuracy,Sensitivity,Specificity,Precision,NPV,Balanced_Accuracy,F1,MCC,Prevalence,AUROC,AUPRC
BRF,7,89,1,23,120,0.5,0.8,0.23333333333333334,0.9888888888888889,0.875,0.7946428571428571,0.6111111111111112,0.3684210526315789,0.38575837490522974,0.25,0.9016666666666666,0.772753677444135
EEC,27,72,18,3,120,0.5,0.825,0.9,0.8,0.6,0.96,0.8500000000000001,0.7200000000000001,0.6260990336999411,0.25,0.9048148148148147,0.7354105588850419
XGB+BBC,27,74,16,3,120,0.5,0.8416666666666667,0.9,0.8222222222222222,0.627906976744186,0.961038961038961,0.8611111111111112,0.7397260273972602,0.6521885033903121,0.25,0.9025925925925925,0.7253867338253315
GB+BBC,18,78,12,12,120,0.5,0.8,0.6,0.8666666666666667,0.6,0.8666666666666667,0.7333333333333334,0.6,0.4666666666666667,0.25,0.8737037037037036,0.7109917503448038
LGBM+BBC,18,76,14,12,120,0.5,0.7833333333333333,0.6,0.8444444444444444,0.5625,0.8636363636363636,0.7222222222222222,0.5806451612903225,0.4351941398892446,0.25,0.8766666666666667,0.6816170394950417
